,Tweets,Sentiment,Good_Bad
0,@realDonaldTrump @RealWayneRoot Dragging the bottom of the barrel again to find anyone who likes you! Trump is a si… https://t.co/K7X1Jil14b,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.4753}",0.4753
1,"RT @RabbiJill: Stop asking ppl ""how do you make sense out of this"" BC IT MAKES NO SENSE. he's truly sick &amp; he needs to be assessed","{'neg': 0.246, 'neu': 0.67, 'pos': 0.084, 'compound': -0.6739}",-0.6739
2,RT @aymeemin: This is the reason why I‘m angry over u paedophile apologists out there wanting to give them paedos 2nd chance. The victims d…,"{'neg': 0.196, 'neu': 0.734, 'pos': 0.07, 'compound': -0.5574}",-0.5574
3,"RT @FacesByChan: CARNIVAL IS FOR SOCA!!! I AM SICK AND TIREDDDDDDD OF YOU UNCULTURED, IGNORANT, ILLITERATE IDIOTS WHINING UP TO BASHMENT ON…","{'neg': 0.366, 'neu': 0.634, 'pos': 0.0, 'compound': -0.8853}",-0.8853
4,@ninadelangel @danielle_ally... since she’s sick💖,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
