,Tweets,Sentiment,Good_Bad
0,"RT @MakeItRayn_: If you’re celebrating Planned Parenthood’s defunding as a win for the Pro-Life movement, remember you just stripped MILLIO…","{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.8176}",0.8176
1,"The Times of Thought

Rose from the ruins of freedom, while without adverse encryption.

Principal finds: mosques,… https://t.co/xw7eRtT1QT","{'neg': 0.12, 'neu': 0.62, 'pos': 0.261, 'compound': 0.5283}",0.5283
2,"RT @burbielips: i dont even stan her but this women is always talking about issues going on in the world like black lives matter movement,…","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5267}",0.5267
3,RT @TomiObaro: Hey guys remember the one about the only black woman in the writers room on Friends who had to listen as the writers told gr…,"{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.4767}",0.4767
4,"RT @MakeItRayn_: If you’re celebrating Planned Parenthood’s defunding as a win for the Pro-Life movement, remember you just stripped MILLIO…","{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.8176}",0.8176
