,Tweets,Sentiment,Good_Bad
0,"@fapper_prescunt Derek, Demi and Kristian have all shown people what it is like to be open, mature, vulnerable and… https://t.co/Cnvxp32kXh","{'neg': 0.079, 'neu': 0.702, 'pos': 0.219, 'compound': 0.5267}",0.5267
1,you gotta be mature enough to understand that you have some toxic traits too. it’s not always the other person,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.4215}",0.4215
2,"@ConorMcDPhoto Absolutely, a sign that we're getting mature (and old 😂) but it's just the best . M enjoyin' it","{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.8271}",0.8271
3,RT @GRLGROUPCONFESS: can kpop bring back the 2014 sexy girl group scene... like remember when groups like aoa exid fiestar tahiti spica did…,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.8126}",0.8126
4,"RT @ofherfrostyway: ⭐️Dr.Caitlin Snow⭐️
“I’m trying to find the old me again” 

•experience roleplayer 6+yrs 
•mature &amp; nsfw content 
•semi…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
