,Tweets,Sentiment,Good_Bad
0,"RT @The_Njoko: Assuming her office closes on weekends and public holidays, this means on average they finish 45 investigations a day or 31…","{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.3818}",0.3818
1,"RT @sankrant: @AatishTaseer Writing a ""shortlisted novel"" may be an achievement for you. If you understood Indian traditions, you'd realize…","{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.3182}",0.3182
2,RT @HelenQN: Brilliant for all year 12 students - great opportunity to support your university studies @usqedu and achievement of your care…,"{'neg': 0.0, 'neu': 0.559, 'pos': 0.441, 'compound': 0.9246}",0.9246
3,RT @AkiraKay_: 2004 aged 4 my sister was adopted abroad. Before our mum passed away I said I was going to bring her home. 16/08/19 I bought…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4,RT @code_stack: @SubDeliveryZone @Oyinkisablelips @pzqm maybe she worked hard on the guy while he was chasing that achievement.  Maybe she…,"{'neg': 0.069, 'neu': 0.931, 'pos': 0.0, 'compound': -0.1027}",-0.1027
