,Tweets,Sentiment,Good_Bad
0,"Je viens de regarder « j’ai rencontrer un monstre ». Messi/Cristiano, tout les opposent sauf une chose, ils restero… https://t.co/KH9sPr8rwi","{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.128}",-0.128
1,RT @sfeanrdin_: I think there is something broken in our generation there are so many sad eyes on happy faces.,"{'neg': 0.247, 'neu': 0.611, 'pos': 0.141, 'compound': -0.4173}",-0.4173
2,RT @alischris05: On sait tous c'est quel génération https://t.co/AY7kIqG0rW,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3,RT @jaiii_x: Nickelodeon’s would have made bags if they made and sold pear phones to our generation as kids😭😭 https://t.co/6fo4iGtmRr,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4,RT @sfeanrdin_: I think there is something broken in our generation there are so many sad eyes on happy faces.,"{'neg': 0.247, 'neu': 0.611, 'pos': 0.141, 'compound': -0.4173}",-0.4173
