,Tweets,Sentiment,Good_Bad
0,mama suruh fara belajar. mama suruh fara terima tawaran ni. mama tahu tak benda ni jauh... dekat kedah pun fara tak penah sedih mcm ni,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1,Ya encontré a mi partner para ir al cine y nada me hace más feliz 🥰 porque yo amo ir al cine pero nadie nunca quier… https://t.co/BLVMpWtQFd,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
2,RT @sensitive0s: le dije mi amor a mi mamá y ahora estamos en tremendo interrogatorio jajdhajaha,"{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.6124}",0.6124
3,RT @imlowkeycool: man i thought peppa was STRAPPED https://t.co/bDVZ885kkj,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4,RT @lingtenouttaten: Hey if your older martial brother pays for everything is he technically your shi ge mama,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
