,Tweets,Sentiment,Good_Bad
0,@UVER_KEN @UVERworldcrewIm 🥺🥺🥺,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1,@takakun_1984 もちろん←,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
2,"RT @paul_schreyer: Der Journalist @BenWeinthal, dessen Lobby-Verbindungen ich gestern in einem Artikel erläutert habe, und den ich nun nach…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3,"RT @bts_bighit: [#방탄밤] 한 여름에 찾아온 겨울 곰돌이❄️🐻의 커버 이미지 비하인드! 
(https://t.co/JMcLEly2q1)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4,"@BrokenNiken Wah videonya tau juga enggak gue ken, cuma tau memenya aja😂","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
