,Tweets,Sentiment,Good_Bad
0,I Play it safe wit my commas now,"{'neg': 0.0, 'neu': 0.485, 'pos': 0.515, 'compound': 0.6486}",0.6486
1,"We all know where this is going. (Turkey) We'll continue to secure the safe zone, until Assad has been removed. The… https://t.co/OgQm7jicvY","{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.6486}",0.6486
2,"RT @zayyyynah: It’s all good, you safe now ❤️ https://t.co/vCuJbz7Obw","{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.7003}",0.7003
3,RT @GGYounggBoy: that “ be safe “ shit really mean sum.,"{'neg': 0.267, 'neu': 0.519, 'pos': 0.215, 'compound': -0.1779}",-0.1779
4,@sunshine_keeper Better to sleep and be safe than to get tired on the drive!,"{'neg': 0.145, 'neu': 0.55, 'pos': 0.305, 'compound': 0.4926}",0.4926
