,Tweets,Sentiment,Good_Bad
0,RT @StephenKing: Questions of Trump's possible impeachment aside; questions of his possible re-election aside; he has besmirched and devalu…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1,"RT @GeorgeTakei: Trump called the Danish Prime Minister “nasty” for rejecting his bizarre offer to buy Greenland, which she rightfully desc…","{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.6486}",-0.6486
2,"RT @HamillHimself: ""We don't have an actual presidency right now. We have a tiresome reality show whose ratings have begun to slide &amp; whose…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3,RT @StephenKing: Questions of Trump's possible impeachment aside; questions of his possible re-election aside; he has besmirched and devalu…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4,RT @OmasoroO: Congratulations to my very patriotic brother @AjuriNgelale on your appointment as a Senior Special Adviser to the Presidency.…,"{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.765}",0.765
