,Tweets,Sentiment,Good_Bad
0,"@ImranKhanPTI Respected PM Pakistan! We Kashmiries cordially admire your just and firm stance on Kashmir dispute.
M… https://t.co/ytcCzhetOu","{'neg': 0.112, 'neu': 0.62, 'pos': 0.268, 'compound': 0.5848}",0.5848
1,#Local #LongIslandNews Long Island Property Owner Accused Of Ruining His Courtyard On Purpose Over Building Dispute… https://t.co/CaMrFbQc1p,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.4939}",-0.4939
2,"RT @ANI: Five-judge Constitution bench, headed by Chief Justice of India (CJI) Ranjan Gogoi, begins hearing in Ram Janambhoomi-Babri Masjid…","{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.5267}",0.5267
3,"RT @Q_Review: I'm confused why everyone is screaming for *Sony* to fix this Spider-Man dispute?

From what I've read, it's clearly a case o…","{'neg': 0.259, 'neu': 0.648, 'pos': 0.092, 'compound': -0.5994}",-0.5994
4,"Douala C’est la magie, tu veux prendre la moto, il dispute le prix avec toi, vous vous arrêtez a 600frs, en route i… https://t.co/bgyGe7kh9Z","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.4019}",-0.4019
