,Tweets,Sentiment,Good_Bad
0,@DeafeningSilen4 @MoeLarryJesus @Theon_Orbis @KnoxClarksville @RVAwonk I’m astonished people don’t see his cognitiv… https://t.co/l3ZfsM8YIF,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}",0.3818
1,"@Newsweek Headaches.
Joint pain.
Shaking.
Loss of balance.
Deterioration of speech.
Decreased muscle control.

Thos… https://t.co/rJm8Q28e1k","{'neg': 0.36, 'neu': 0.64, 'pos': 0.0, 'compound': -0.743}",-0.743
2,The first manned dive to the Titanic in 14 years found a wreck in 'shocking' decay. The photos are spooky… https://t.co/1REccBAz4U,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.6808}",-0.6808
3,"@AodhBC @rte Archeologists discover shocking deterioration of bodies in Neolithic burial sites. Quote ""practically skeletons"".","{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4019}",-0.4019
4,RT @robwoodyard1: Interesting and scary discussion on the #LastWord  by shrinks who predicted the current deterioration two years ago.,"{'neg': 0.14, 'neu': 0.742, 'pos': 0.118, 'compound': -0.128}",-0.128
