,Tweets,Sentiment,Good_Bad
0,"RT @KTHOnlyPage: #WinterBear Mv surpassed 15M views

Great job but we can do better 

#WinterBear50M Goal for taehyung birthday is on so le…","{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.7506}",0.7506
1,"RT @btsvotingmetric: Let's start! GOAL: Can ARMYs reach 50 replies for @BTS_twt?

📥 #MPN #BTS #ARMY #BoyWitLuv  

https://t.co/tVIC33x4a2","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.1007}",0.1007
2,"RT @ManCity: #OnThisDay we signed the one and only @VincentKompany 🙌

The perfect excuse to watch this goal over and over again! 🤤

🔵 #manc…","{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.6476}",0.6476
3,"@ESLRainbowSix
Hello I was wondering if you could help me with something, I play r6s on ps4 and my goal was to hit… https://t.co/OkpEEP4zPS","{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.6249}",0.6249
4,"RT @TipzPlanA: We need to discuss @paulpogba being treated unfairly by  @SkySports @GNev2 

All of a sudden a forward pass is called a Holl…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
