,Tweets,Sentiment,Good_Bad
0,"RT @testisfidelis: Saving Abortionists from the Consequence of Their Crimes: 

Democrats Block Bill 2 Save Babies Born Alive in Abortion fo…","{'neg': 0.113, 'neu': 0.661, 'pos': 0.226, 'compound': 0.4404}",0.4404
1,"Congress, DO YOUR JOB. Opiod overdose, baby murders (abortion), ILLEGAL ALIEN crimes, mental disease awareness. Gun… https://t.co/I7WHYwTTFa","{'neg': 0.357, 'neu': 0.643, 'pos': 0.0, 'compound': -0.8531}",-0.8531
2,"RT @LiveAction: Exactly right, Ben Shapiro! Abortion is not a human right; abortion is a human rights violation. https://t.co/E0If0PB7x1","{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.5411}",-0.5411
3,"RT @MattWolking: Part-Time Mayor Pete Buttigieg, who loves to bash Christians, just reiterated his support for unlimited abortion until bir…","{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.7506}",0.7506
4,"RT @meredithshiner: Hi @GOPLeader: Last week, I went into labor. At 22 weeks, 6 days, our baby—whom we very much wanted—had no chance at li…","{'neg': 0.097, 'neu': 0.825, 'pos': 0.079, 'compound': -0.1189}",-0.1189
