,Tweets,Sentiment,Good_Bad
0,RT @LMKMovieManiac: Your favourite background score among these celebrated mass films of #SuperstarRajinikanth?,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.5719}",0.5719
1,RT @Avygil: rt for high score this coming midterm! ✨🤞 https://t.co/sBzJRfGht4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
2,@EriikLFC Did you score?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3,"RT @DHONIism: TEST CRICKET

His batting average is only 38.09
But scored 39 fifty+ score

He never scored a 250
But dismissed 250+players (…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4,"RT @JamesBassJHB: Yo, @ShoMadjozi, Swahili pronunciation score out of 10? #JohnCena #JohnCenaChallenge https://t.co/EfilURv63P","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
