,Tweets,Sentiment,Good_Bad
0,some of you are really unable to confront or disagree with someone without forcing yourself onto a moral high groun… https://t.co/wBPrHc7E3x,"{'neg': 0.202, 'neu': 0.798, 'pos': 0.0, 'compound': -0.552}",-0.552
1,@MarditDS @hamartirosyan He can disagree all he wants. But accusing Prime Minister of bribery without any facts is a crime.,"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.7783}",-0.7783
2,@SkyNews @Noel_Phillips i don’t think you guys understand how easy it is to disagree with someone without being rac… https://t.co/Sl7dMFVPN4,"{'neg': 0.116, 'neu': 0.756, 'pos': 0.129, 'compound': 0.0772}",0.0772
3,"@noorshasan @TheAtlantic But yes, we’ll agree to disagree. And I do regret that some people aren’t making their arg… https://t.co/Q979fkuoli","{'neg': 0.211, 'neu': 0.586, 'pos': 0.203, 'compound': -0.0516}",-0.0516
4,@jkauffman23 @andrewpurc @cate_meredith @helenprejean @pamelacolloff @chronic_jordan Not my point. You can disagree… https://t.co/bCRfLylSJB,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
