,Tweets,Sentiment,Good_Bad
0,"#WestPapua: This will escalate. UN INTERVENTION! The sooner the better. 

The #UN must return to West Papua, as it… https://t.co/fRroOyGq4v","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4926}",0.4926
1,Farm Tensions Escalate as USDA Staffer Is Threatened in Midwest https://t.co/QkrpMVBnkF,"{'neg': 0.388, 'neu': 0.612, 'pos': 0.0, 'compound': -0.6908}",-0.6908
2,Now this is creepy WTF. When I take her research into her boyfriend seriously I have no problem calling this one a… https://t.co/dzGACek9we,"{'neg': 0.396, 'neu': 0.604, 'pos': 0.0, 'compound': -0.8788}",-0.8788
3,RT @LawrenceSellin: The U.S. together with the international community must send a very strong signal to Pakistan not to interfere in India…,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.5563}",0.5563
4,It all starts with a mild fever - warming of the climate- then it will escalate in to FLU - firing... https://t.co/yWImXg6yRh,"{'neg': 0.152, 'neu': 0.775, 'pos': 0.073, 'compound': -0.4084}",-0.4084
