,Tweets,Sentiment,Good_Bad
0,"RT @brwc: The BRWC Review: Everybody Wants Some!!

https://t.co/fjH17NH6m7 https://t.co/hcnLQB6wOK","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1,@hiraistudio Omfg loona are so POPULAR and the NATIONS GIRL GROUP everybody is THREATENED BY THEM😓😓😓 Shat the hell up!,"{'neg': 0.286, 'neu': 0.564, 'pos': 0.15, 'compound': -0.624}",-0.624
2,RT @anthonytrucco: Everybody's been saying this verse of thuggers album sounds like Mr.Krabs so I made this and I can't unsee it https://t.…,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}",0.3612
3,RT @tabithajll: This shit is no fucking joke. Everybody should be stressing this! https://t.co/aeByUYUv0C,"{'neg': 0.407, 'neu': 0.474, 'pos': 0.118, 'compound': -0.7269}",-0.7269
4,"RT @cherylpjohn: #durbanmustrise #durbanchamber inequality is everybody's business, so is #ClimateChange","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
