,Tweets,Sentiment,Good_Bad
0,"@Notorious_MarlE Being korny is cute ! 💕 I myself am too tbh , ive done a couple things but thats how you know you really care about them ☺️","{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.7924}",0.7924
1,RT @Tobex99163940: @Buff_Desastre The kind luv wey i get for u no be for this world.  Naso i pack my load follow u come death garden all di…,"{'neg': 0.2, 'neu': 0.689, 'pos': 0.111, 'compound': -0.4019}",-0.4019
2,"Fool me once ?
Shame on you .
Fool me twice ?
Twice is fine so is a couple more times I’ll never learn that I am the fool.","{'neg': 0.369, 'neu': 0.576, 'pos': 0.055, 'compound': -0.885}",-0.885
3,"RT @elgirlbelle: Dari Couple korea gue percaya;

-Cintailah seseorang itu sewajarnya krna bisa jdi suatu saat dia adalah org yang paling ka…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4,RT @natals_nat: The only toxic couple i support https://t.co/KD7gnKiAM1,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}",0.4019
